item_code,p_name,base_price
0,linksys etherfast ezxs88w ethernet switch ezxs88w,
1,linksys etherfast ezxs55w ethernet switch,
2,netgear prosafe fs105 ethernet switch fs105na,
3,belkin pro series high integrity vga/svga monitor extension cable f3h982-10,
4,netgear prosafe jfs516 ethernet switch,
5,lacie pocket floppy disk drive 706018,
6,canon kp 36ip print cartridge paper kit 7737a001,9.99
7,kensington orbit optical trackball usb w/ps2 adapter 64327,
8,linksys etherfast ef4116 ethernet switch,
9,linksys etherfast ef4124 ethernet switch,64.99
10,linksys instant gigabit eg005w ethernet switch,
11,linksys g wireless-g wet54g wireless bridge,
12,tripp lite powerverter 375-watt ultra-compact inverter pv375,
13,netgear prosafe gs105 ethernet switch gs105na,
14,belkin monitor cable f3h982-25,15.98
15,logitech driving force pro for playstation 2 963293-0403,
16,belkin ac anywhere 300w power inverter f5c400-300w,
17,linksys wireless-g range expander wireless bridge wre54g,
18,sony vaio notebook and ac adapter case vgpamc2,
19,d-link express ethernetwork high-speed docsis 2.0 cable modem dcm-202,
20,sony notebook and ac adapter cases vgpamc3,12.99
21,panasonic black toner cartridge kx-fa83,
22,logitech z-2300 multimedia speaker system 970118-0403,
23,sony high definition mini dv cassette dsl-190-b,
24,netgear prosafe wg102 wireless access point 802.11 g wg102na,
25,netgear rangemax wpn802 wireless access point wpn802na,
26,netgear prosafe fs726tp 24 port 10/100 smart switch fs726tpna,
27,playstation 2 memory card 8mb,
28,sony 7-11719-70670-0 ps2 8 mb memory card 2-pk 97067,
29,playstation 2 dualshock analog controller green,
30,playstation 2 dvd remote 97076,
31,sennheiser nickel metal hydride battery for headsets ba-151,14.34
32,sony minidv head cleaner dvm12cld,7.95
33,sony sb-v40s a/v selector sbv40s,
34,panasonic kx-ts108w corded phone,
35,panasonic kx-ts208w corded phone,
36,garmin canvas deluxe carry case 010-10231-01,17.45
37,sony h.ear stereo earphones mdrj10/blue,12.38
38,belkin pro series usb device cable 16 f3u133-16,12.21
39,omnimount universal wall speaker mounting kit 20.0 wall-b,24.34
40,omnimount stainless steel speaker mount 20.0 wall-w,
41,sanus euro foundation series iii speaker stand efsatsiii,
42,peerless adjustable tv wall mount pm1327,
43,sanus euro foundation series iii speaker stand efsatbkiii,
44,panasonic kx-tca86 headset,11.03
45,sony vct-r640 tripod vctr640,
46,sanus flat panel tv wall mount vmf,
47,sanus speaker mount wms3b black,
48,sanus wall/ceiling speaker mount wms3s silver,
49,sony mini dvd-r media 3dmr30l1h,6.99
50,panasonic kx-ts3282b corded phone,
51,sennheiser rs 120 wireless hi-fi headphone rs120,
52,sanus flat panel tv wall mount vmpl50-b,
53,sony ps-lx350h belt-drive turntable,
54,sony str-de197 av receiver 100 watts per channel,122.43
55,sanus television turntable tv/lcds,
56,panasonic kx-tca92 headset,18.42
57,panasonic kx-tsc14b corded telephone,
58,sony cdp-cx355 300 disc megastorage cd changer,169.13
59,sanus flat panel tv wall mount vm1b,69.99
60,canon nb-2lh battery pack 9612a001,
61,olympus b-90su aa/aaa size battery charger 200899,
62,sony cdx-565mxrf 10-disc cd/mp3 changer,134.12
63,omnimount tv top shelf mount,21.49
64,canon nb-4l rechargeable camera battery 9763a001,36.89
65,panasonic 3x dvd-ram media,
66,canon cb-2lv battery charger 9764a001,
67,canon ef-s 17-85mm f/4 -5.6 is usm standard zoom lens,515.0
68,sennheiser rs 140 wireless rf headphone rs-140,144.97
69,sennheiser rs 130 wireless headphone rs130,144.95
70,sony fontopia earbuds mdrex81lpb,34.88
71,sanus visionmount flat panel tv wall mount vmpl3b,144.05
72,sanus flat panel tv wall mount vm400s,
73,sanus under cabinet lcd tv mount vmuc1s,
74,sanus flat panel tv wall mount vm400b,
75,sanus universal projector ceiling mount vmpr1b,
76,weber 848001 performer 22.5 ' charcoal grill in dark blue,
77,weber 841001 performer 22.5 ' charcoal grill in black,
78,plantronics voyager 510 bluetooth earset,
79,omnimount tv top shelf mount cch1p,
80,sony lcs soft carrying case lcscst,9.95
81,linksys wrv54g wireless-g vpn broadband router,
82,kingdom hearts ii,19.99
83,canon cli-8m ink cartridge 0622b002,10.35
84,"canon ink cartridge for pixma ip1600 , ip6210d and ip6220d printers 0617b002",19.11
85,"canon ink cartridge for pixma ip4200 , ip5200 , ip5200r and ip6600d printers 0620b002",13.99
86,canon cli-8c ink cartridge 0621b002,13.99
87,canon cli-8y ink cartridge 0623b002,13.99
88,canon black ink cartridge 0615b002,
89,canon pgi-5bk black ink cartridge 0628b002,14.99
90,peerless universal flat wall mount sf640p,
91,netgear prosafe fs116p ethernet switch fs116pna,
92,peerless universal tilt wall mount,
93,netgear prosafe jgs524f 24-port gigabit ethernet switch jgs524fna,
94,tripp lite video cable p502-025,
95,logitech dinovo media desktop laser 967562-0403,
96,logitech cordless desktop mx 5000 laser 967562-0403,
97,canon cli-8pc photo cyan ink cartridge 0624b002,13.99
98,canon cli-8pm photo magenta ink cartridge 0625b002,13.99
99,"canon cl-51 high capacity color ink cartridge for pixma mp450 , pixma ip6210d and pixma ip6220d printers 0618b002",
100,canon pg-50 high capacity black ink cartridge for pixma mp450 printer 0616b002,
101,canon cl-52 photo ink cartridge for pixma ip6210d and pixma ip6220d printers 0619b002,18.16
102,"delonghi dc50b twenty four seven drip coffee maker , black",22.95
103,panasonic dvd-ram media lm-af30u3,6.22
104,belkin hi-speed usb 2.0 7-port hub f5u237-apl-s,
105,canon ef 70-300mm f/4 -5.6 is usm telephoto zoom lens 0345b002,549.0
106,universal aeros ir/rf remote control mx850,256.99
107,universal mx-350 osiris remote control mx350,93.9
108,panasonic nn-h965bf microwave oven counter top 2.2 ft 1250w black,
109,panasonic nn-h965wf luxury full-size 2-1/5 - cubic-foot 1250-watt microwave oven - white,
110,linksys wireless-g wrt54gl broadband router,
111,audiovox xm6 outdoor home antenna xm-6,
112,nikon speedlight sb-600 af flash light 4802,189.72
113,sony memory stick duo replacement adapter msacm2,19.48
114,kensington microsaver notebook lock 64068f,
115,linksys wireless-g wusb54gc compact usb adapter,
116,sirius outdoor home antenna 14240,
117,sony ribbon and paper with snap-off edges for dpp-fp50 digital photo printer svmf120p,
118,audiovox xmh10 home docking kit,
119,audiovox xmfm1 switch box,15.49
120,sanus vcd/dvd wall mount vmavb,
121,sony memory stick usb card reader/writer msacus40,
122,logitech harmony 890 advanced universal remote 966193-0403,248.9
123,"logitech harmony 890 advanced universal remote hdtv , tv , dvd player ( s ) , lighting , audio system 100 ft universal remote 966193-0403",335.11
124,sanus center channel speaker mount vmcc1b,
125,sony vaio sz series docking station vgpprsz1,
126,sony print paper svmf40p,17.99
127,canon canon cb-2lw battery charger 0763b001,
128,tivo ag0100 wireless g usb network adapter,
129,tivo tcd649080 series2 digital video recorder up to 80 hours capacity,
130,canon psc-75 deluxe soft case 0716b001,19.94
131,sony compact tripod 14 ' / 39 ' * nic * vctr100,
132,"lowepro rezo 15 camera case microfiber , ripstop nylon black ( black )",
133,"lowepro slingshot 200 aw camera backpack backpack microfiber , ripstop nylon black , gray ( black )",
134,"lowepro edit 100 case for camcorder nylon , microfiber black ( black )",
135,ge millennium tv antenna 24734,
136,lego star wars 2 : the original trilogy,
137,uniden tcx905 tru-digital expansion handset with caller id,29.99
138,panasonic kx-tga450b cordless handset,
139,panasonic kx-tg4500b corded/cordless telephone,
140,panasonic kx-tg6700b cordless telephone,106.14
141,panasonic kx-tga670b cordless handset,
142,fellowes powershred personal w11c shredder 30100,
143,directed electronics antenna extension cable 14230,
144,weber q 300 gas grill,
145,sony learning remote control rmvl600,19.99
146,uniden tcx905 cordless handset tcx905,
147,panasonic kx-ts600w basic telephone,
148,pioneer nautica marine remote control,
149,pioneer gex-p920xm xm digital satellite tuner gex-p920xm,
150,pioneer ts-p462 speaker,
151,pioneer nautica ts-mr1640 marine speaker ts-mr1640,
152,canon nb-5l lithium-ion digital camera battery 1135b001,36.49
153,boss 161 speaker,158.0
154,bose acoustimass 5 series iii speaker system 21725,359.0
155,bose pmcii remote control,145.37
156,apple dvi to mini-dvi video cable adapter m9321gb,19.99
157,peerless plav70-unlp-s articulating dual-arm with vertical adjustment plav70 unlps,449.52
158,sanus visionmount flat panel tv wall mount mf110-b1,
159,sanus visionmount flat panel tv wall mount ml22-b1,
160,sanus visionmount tilting flat panel tv wall mount mt25-b1,
161,panasonic sdyd250 automatic bread maker,
162,canon psc-55 deluxe leather camera case 1588b001,16.82
163,garmin ga 25mcx low profile remote gps antenna 010-10702-00,
164,charge your unit with this ac adapter cable . also includes international adapter 010-10723-00,
165,garmin usb cable 010-10723-01,8.15
166,garmin leather gps case,
167,garmin vehicle suction cup mount,
168,garmin cigarette lighter adapter for gps,
169,garmin cigarette lighter adapter for gps navigation 010-10747-03,12.99
170,sharp r-1214 microwave oven r-1214,380.67
171,linksys wap4400n wireless-n access point with poe wap4400n,
172,linksys wireless-n wrvs4400n gigabit security router with vpn,
173,panasonic cga-s007a / 1b lithium ion digital camera battery,
174,panasonic bb-hcm331a outdoor network camera with 2-way audio,
175,panasonic bl-c1a network camera,
176,panasonic kx-fg2451 plain paper thermal transfer fax/copier kx-fg2451,
177,panasonic kx-ts3282w corded telephone,
178,"panasonic nn-c994s genius prestige convection microwave oven with inverter turbo defrost and one-touch sensor cooking , stainless",
179,panasonic kx-tsc14w 2-line telephone,
180,microsoft office 2007 home and student 79g-00007,82.99
181,microsoft office 2007 standard 021-07746,319.99
182,techcraft veneto series abs32 tv stand,150.13
183,techcraft veneto series swp48 tv stand,299.0
184,lg electronics rlm20k remote laundry monitoring system,
185,lg electronics wdp3 laundry pedestal with drawer blue,
186,lg electronics lg wstk1 washer/dryer stacking kit : white,
187,nintendo ds lite ( black onyx ) usgskb,
188,"logitech quickcam communicate stx webcam black , charcoal 961464-0403",
189,audiovox cnp2000 xm mini-tuner,
190,audiovox cnp2000h xm mini-tuner home dock,24.74
191,denon tu-1500rd stereo radio tuner tu1500rd,
192,toshiba lithium ion portable dvd player battery medb05lx,149.99
193,pioneer car audio remote control cdvc1,35.0
194,sony scd-ce595 cd player scdce595,
195,sony cdp-ce375 cd player/changer cdpce375,114.18
196,denon dp-29f analog record turntable dp29f,
197,sony cdp-cx455 cd player/changer cdpcx455,219.99
198,cordless solo s2 radar/laser detector 010es20a,279.99
199,kenwood kdc-c669 car cd changer kdcc669,
200,kenwood kca-ip500 ipod interface/controller kcaip500,47.72
201,sony compact disc player/recorder rcdw500c,219.76
202,apple v. 92 data/fax usb modem ma034za,49.0
203,universal mastercontrol universal learning remote control rf20,
204,garmin gps receiver dash mount 010-10613-00,
205,sony remote control rmv310,14.72
206,ge pre-amplifier for stereo turntable 23292,23.72
207,denon dcm-390 5 disc cd changer dcm390,348.0
208,denon dp-300f analog record turntable dp300f,328.99
209,garmin vehicle suction mount 010-10609-00,27.59
210,sony dvpcx995v dvd player,249.99
211,cuisinart cordless automatic electric kettle,69.95
212,"twin tub dtt420 washer ( top loading , 10 lbs . )",312.04
213,kitchenaid pasta roller and cutter kpra,
214,lg electronics 24 ' front-load all-in-one washer and dryer : titanium,
215,lg electronics 24 ' washer/dryer combo : white,
216,griffin elevator desktop stand for portable laptops 1093-curv2,
217,lg electronics 10 cu.ft . cabinet depth refrigerator,
