acm_record_id,doc_authors,date_year,conference_name,research_title
1569,"erik riedel , gregory r. ganger , david nagle , christos faloutsos",2000,sigmod conference,data mining on an oltp system ( nearly ) for free
1570,"srinath srinivasa , sujit kumar",2003,vldb,a platform based on the multi-dimensional data model for analysis of bio-molecular structures
1571,"klaus r. dittrich , ruxandra domenig",1999,sigmod record,an overview and classification of mediated query systems
1572,"kaushik chakrabarti , sharad mehrotra",2000,vldb,local dimensionality reduction : a new approach to indexing high dimensional spaces
1573,ibrahim cingil,2002,sigmod record,supporting global user profiles through trusted authorities
1574,?,1996,sigmod record,mqseries and cics link for lotus notes
1575,"runping qi , kuan yee , brian sterling , nicolas adiba , michael j. carey , david rieber , steve kirsch , michael blow , john c. shafer , rajendra panwar , daniela florescu , mary roth , dan wineman , david li , bert van der linden , brian vickery , ivan oprencak , tolga urhan",2001,vldb,the propel distributed services platform
1576,"kinji ono , jihad boulos",1999,sigmod record,cost estimation of user-defined methods in object-relational database systems
1577,peter z. revesz,1998,acm trans . database syst .,safe query languages for constraint databases
1578,"theodore johnson , charles d. cranor , oliver spatscheck , vladislav shkapenyuk",2003,sigmod conference,gigascope : a stream database for network applications
1579,"martin theobald , sergej sizov , jens graupmann",2003,vldb,from focused crawling to expert information : an application framework for web exploration and portal generation
1580,jia liang han,1998,vldb j.,"optimizing relational queries in connection hypergraphs : nested queries , views , and binding propagations"
1581,"tolga urhan , michael j. franklin , laurent amsaleg",1998,sigmod conference,cost based query scrambling for initial delays
1582,"ethan l. miller , theodore johnson",1998,vldb,performance measurements of tertiary storage devices
1583,"tianqiu wang , yannis papakonstantinou , nick koudas , vagelis hristidis , andrey balmin , divesh srivastava",2003,vldb,a system for keyword proximity search on xml databases
1584,"giansalvatore mecca , valter crescenzi , paolo merialdo",2001,vldb,roadrunner : towards automatic data extraction from large web sites
1585,rafael camps,2002,sigmod record,from ternary relationship to relational tables : a case against common beliefs
1586,"shivnath babu , rajeev rastogi , minos n. garofalakis",2001,sigmod conference,spartan : a model-based semantic compression system for massive data tables
1587,"a. prasad sistla , ouri wolfson , yixiu huang",1994,sigmod conference,data replication for mobile computers
1588,"sophie cluet , fanny wattez , véronique benzaken , guy ferran , christian fiegel",2000,sigmod conference,benchmarking queries over trees : learning the hard truth the hard way
1589,"wolfgang wonner , gerhard weikum , michael gillmann",2002,sigmod conference,workflow management with service quality guarantees
1590,luciana duranti,2001,vldb,the long-term preservation of authentic electronic records
1591,robert s. epstein,1995,sigmod conference,keynote address
1592,stuart e. madnick,1995,vldb,from vldb to vmldb ( very many large data bases ) : dealing with large-scale semantic heterogenity
1593,"mehul a. shah , wei hong , sirish chandrasekaran , samuel madden , sailesh krishnamurthy , amol deshpande , frederick reiss , owen cooper , joseph m. hellerstein , michael j. franklin",2003,sigmod conference,telegraphcq : continuous dataflow processing
1594,"curtis e. dyreson , torben bach pedersen , christian s. jensen",2000,vldb,the treescape system : reuse of pre-computed aggregates over irregular olap hierarchies
1595,"richard t. snodgrass , dengfeng gao",2003,vldb,temporal slicing in the evaluation of xml queries
1596,"daniela florescu , alberto o. mendelzon , alon y. levy",1998,sigmod record,database techniques for the world-wide web : a survey
1597,"frans coetzee , steve lawrence , michelangelo diligenti , marco gori , c. lee giles",2000,vldb,focused crawling using context graphs
1598,"sharad mehrotra , kaushik chakrabarti",1999,sigmod conference,efficient concurrency control in multidimensional access methods
1599,"stefan deßloch , joachim thomas , nelson mendonça mattos",1995,sigmod conference,design and implementation of advanced knowledge processing in the kdms krisys ( demonstration description )
1600,"matthew huras , leslie cranston , bishwaranjan bhattacharjee , sriram padmanabhan , timothy malkemus , tony lai",2003,vldb,efficient query processing for multi-dimensionally clustered tables in db2
1601,victor vianu,2003,sigmod record,a web odyssey : from codd to xml
1602,"hans-peter kriegel , raymond t. ng , markus m. breunig , jörg sander",2000,sigmod conference,lof : identifying density-based local outliers
1603,"chris olston , jennifer widom",2002,sigmod conference,best-effort cache synchronization with source cooperation
1604,"jae-jun hwang , mauricio a. hernández , salvatore j. stolfo , hasanat m. dewan",1994,sigmod conference,predictive dynamic load balancing of parallel and distributed rule and query processing
1605,"divyakant agrawal , amr el abbadi , hailing yu",2003,vldb,tabular placement of relational data on mems-based storage devices
1606,christoph koch,2003,vldb,efficient processing of expressive node-selecting queries on xml data in secondary storage : a tree automata-based approach
1607,xiaolei qian,1995,sigmod record,"opportunities at arpa , nsf , and elsewhere"
1608,"takeshi tokuyama , takeshi fukuda , yasuhiko morimoto , shinichi morishita",1996,sigmod conference,sonar : system for optimized numeric associationrules
1609,"anne h. h. ngu , athman bouguettaya , brahim medjahed , ahmed k. elmagarmid , boualem benatallah",2003,vldb j.,business-to-business interactions : issues and enabling technologies
1610,"vagelis hristidis , yannis papakonstantinou",2002,vldb,discover : keyword search in relational databases
1611,"richard jeffers , divyakant agrawal , amr el abbadi , lijing lin",1995,vldb j.,ordered shared locks for real-time databases
1612,?,2002,sigmod conference,"proceedings of the 2002 acm sigmod international conference on management of data , madison , wisconsin , june 3-6 , 2002"
1613,"per-åke larson , jingren zhou , jonathan goldstein",2003,sigmod conference,transparent mid-tier database caching in sql server
1614,"etzard stolte , thomas r. gross , gustavo alonso , christoph von praun",2003,sigmod conference,scientific data repositories : designing for a moving target
1615,"piero fraternali , stefano paraboschi , stefano ceri",1998,sigmod conference,the idea web lab
1616,"anthony tomasic , eric simon",1997,sigmod record,improving access to environmental data using context information
1617,"h. stephen au-yeung , c. p. chou , yuh-ming shyy",1995,sigmod conference,versant replication : supporting fault-tolerant object databases
1618,"stanley b. zdonik , demet aksoy , michael j. franklin",2001,vldb,data staging for on-demand broadcast
1619,praveen seshadri,1998,sigmod record,predator : a resource for database research
1620,"kazuhiko mogi , masaru kitsuregawa",1995,vldb,hot block clustering for disk arrays with dynamic striping
1621,"jeffrey f. naughton , janet l. wiener",1995,vldb,oodb bulk loading revisited : the partitioned-list approach
1622,"wolf siberski , wolfgang nejdl , michael sintek",2003,sigmod record,design issues and challenges for rdf - and schema-based peer-to-peer systems
1623,"ada wai-chee fu , yin-ling cheung , yiu sang moon , polly mei-shuen chan",2000,vldb j.,dynamic vp-tree indexing for n-nearest neighbor search given pair-wise distances
1624,"yuguo liu , yiming li , pradip kanjamala , rui chen , yonghui wang , peter z. revesz",2000,sigmod conference,the mlpq/gis constraint database system
1625,"laks v. s. lakshmanan , xiaodong zhou , raymond t. ng , theodore johnson , christine xing wang",2002,vldb,the generalized mdl approach for summarization
1626,"k. selçuk candan , wang-pin hsiung , oliver po , divyakant agrawal , wen-syan li",2002,vldb,view invalidation for dynamic content caching in multitiered architectures
1627,"shetal shah , krithi ramamritham , prashant j. shenoy",2002,vldb,maintaining coherency of dynamic data in cooperating repositories
1628,richard t. snodgrass,2002,sigmod record,tods perceptions and misconceptions
1629,"balakrishna r. iyer , jeffrey scott vitter , p. krishnan",1996,sigmod conference,estimating alphanumeric selectivity in the presence of wildcards
1630,vijay kumar,2003,sigmod record,sensor : the atomic computing particle
1631,"surajit chaudhuri , kyuseok shim",1996,vldb,optimization of queries with user-defined predicates
1632,"anastassia ailamaki , andrew therber , yannis e. ioannidis , anand narayanan , miron livny",1997,sigmod conference,zoo : a desktop emperiment management environment
1633,"kaippallimalil j. jacob , dennis shasha",1999,sigmod record,fintime - a financial time series benchmark
1634,"leonid libkin , timothy griffin",1995,sigmod conference,incremental maintenance of views with duplicates
1635,hartmut wedekind,1994,sigmod record,are the terms version and variant orthogonal to one another ? a critical assessment of the step standardization
1636,"rachel pottinger , alon y. halevy , philip a. bernstein",2000,sigmod record,a vision of management of complex models
1637,"roger h. l. chiang , ee-peng lim , chua eng huang cecil",2003,vldb j.,instance-based attribute identification in database integration
1638,"william j. mciver jr. , roger king",1994,sigmod conference,"self-adaptive , on-line reclustering of complex object data"
1639,"mitch cherniack , kenneth a. ross , gottfried vossen",2003,sigmod record,reminiscences on influential papers
1640,?,1995,sigmod record,calls for papers and announcements
1641,"christos faloutsos , volker gaede",1996,vldb,analysis of n-dimensional quadtrees using the hausdorff fractal dimension
1642,a. r. dasgupta,1996,vldb,large databases for remote sensing and gis
1643,"barbara t. bauldock , gladys a. cotter",2000,vldb,biodiversity informatics infrastructure : an information commons for the biodiversity community
1644,"till westmann , sven helmer , guido moerkotte , donald kossmann",2000,sigmod record,the implementation and performance of compressed databases
1645,"christos h. papadimitriou , anant jhingran , yannis e. ioannidis , kenneth a. ross",2000,sigmod record,reminiscences on influential papers
1646,"thomas seidl , marco pötke , hans-peter kriegel",2000,vldb,managing intervals efficiently in object-relational databases
1647,"benny souder , bob jenkins , lip boon doo , peter lim , gordon smith , dean daniels , curtis elsbernd , gary hallmark , alan downing , jim stamos , sandeep jain",1994,sigmod conference,oracle 's symmetric replication technology and implications for application design
1648,"seth j. white , david j. dewitt",1995,vldb j.,quickstore : a high performance mapped object store
1649,"hartmut liefke , dan suciu",2000,sigmod conference,xmill : an efficient compressor for xml data
1650,"nick roussopoulos , christos faloutsos , timos k. sellis",1997,vldb,multidimensional access methods : trees have grown everywhere
1651,"nicolas bruno , surajit chaudhuri",2002,sigmod conference,exploiting statistics on query expressions for optimization
1652,"sudarshan s. chawathe , ming-syan chen , philip s. yu",1994,vldb,on index selection schemes for nested object hierarchies
1653,"mark g. l. m. van doorn , arjen p. de vries , henk m. blanken , peter m. g. apers",1999,vldb,the mirror mmdbms architecture
1654,"ming-chien shan , fabio casati , umeshwar dayal",2000,sigmod record,vldb workshop on technologies in e-services ( tes )
1655,"thodoros topaloglou , adel shrufi , vinay k. chaudhri , dimitris plexousakis , john mylopoulos",1996,vldb j.,building knowledge base management systems
1656,"wei fan , wenke lee",2001,sigmod record,mining system audit data : opportunities and challenges
1657,"weiyi meng , naphtali rishe , clement t. yu , king-lup liu , xiaodong wang , yuhsi chang",1998,vldb,determining text databases to search in the internet
1658,"rajeev rastogi , minos n. garofalakis , chee yong chan",2002,vldb,re-tree : an efficient index structure for regular expressions
1659,"george m. bryan , j. geyer , wayne e. moore , b. j. curry , k. w. lodge",1994,sigmod conference,the medusa project : autonomous data management in a shared-nothing parallel database machine
1660,"kevin s. beyer , roberta cochrane , kenneth salem , bruce g. lindsay",2000,sigmod conference,how to roll a join : asynchronous incremental view maintenance
1661,"stefano ceri , elena baralis , stefano paraboschi",1996,acm trans . database syst .,modularization techniques for active rules design
1662,"fabrizio ferrandina , guy ferran , thorsten meyer , roberto zicari , joëlle madec",1995,vldb,schema and database evolution in the o2 object database system
1663,"alfons kemper , christian wiesner",2001,vldb,hyperqueries : dynamic distributed query processing on the internet
1664,"jason mchugh , jennifer widom",1999,vldb,query optimization for xml
1665,donald r. deutsch,1995,sigmod conference,objects and sql : strange relations ? panel
1666,"karl aberer , xiaoya yang , klemens böhm , erich j. neuhold",1997,vldb j.,structured document storage and refined declarative and navigational access mechanisms in hyperstorm
1667,"demet aksoy , mehmet altinel , stanley b. zdonik , thomas baby , william shapiro , michael j. franklin",1999,sigmod conference,dbis-toolkit : adaptable middleware for large scale data delivery
1668,"amr el abbadi , yi-leh wu , divyakant agrawal",2001,sigmod conference,using the golden rule of sampling for query estimation
1669,"joel h. saltz , john burgess , felipe cariño , william o'connell",1999,vldb,"active storage hierarchy , database systems and applications - socratic exegesis"
1670,"deok-hwan kim , ju-hong lee , chin-wan chung",1999,sigmod conference,multi-dimensional selectivity estimation using compressed histogram information
1671,"linas bukauskas , curtis e. dyreson , michael h. böhlen",1999,sigmod conference,the jungle database search engine
1672,arun hampapur,1999,sigmod record,semantic video indexing : approach and issue
1673,"anastasio molano , alberto pan , paula montoto , juan raposo , lucía ardao , manuel álvarez , vicente orjales , ángel viña , justo hidalgo",2002,vldb,the denodo data integration platform
1674,"yoëlle s. maarek , david carmel , aya soffer",2001,sigmod record,xml and information retrieval : a sigir 2000 workshop
1675,"alfons kemper , ehud gudes , natalija krivokapic",1999,vldb j.,deadlock detection in distributed database systems : a new algorithm and a comparative performance analysis
1676,c. mohan,2002,vldb,application servers and associated technologies
1677,"luis gravano , junyan ding , narayanan shivakumar",2000,vldb,computing geographical scopes of web resources
1678,"ray suorsa , john nauman",1998,sigmod conference,"developing a high traffic , read-only web site"
1679,"hector garcia-molina , murty valiveti , chen li , ramana yerneni , jeffrey d. ullman , vasilis vassalos , yannis papakonstantinou",1998,sigmod conference,capability based mediation in tsimmis
1680,"mitch cherniack , stanley b. zdonik",1996,sigmod conference,rule languages and internal algebras for rule-based optimizers
1681,"andrew eisenberg , jim melton",2002,sigmod record,sql/xml is making good progress
1682,"anand deshpande , josé a. blakeley",2000,sigmod conference,tutorial : data access
1683,"michel tourn , man abrol , john wang , grace zhang , jianchang mao , uma mahadevan , rajat mukherjee , prabhakar raghavan , neil latarche",2001,vldb,navigating large-scale semi-structured data in business portals
1684,"michael eitan , valerie gregg , carlo batini , d. b. phatak , yeha el atfi , krithi ramamritham",2000,vldb,"social , educational , and governmental change enabled through information technology"
1685,"fabrizio ferrandina , thorsten meyer , roberto zicari",1994,vldb,implementing lazy database updates for an object database system
1686,"christian convey , sangdon lee , ugur çetintemel , daniel j. abadi , michael stonebraker , mitch cherniack , donald carney , stanley b. zdonik , nesime tatbul",2003,vldb j.,aurora : a new model and architecture for data stream management
1687,"jan-eike michels , peter m. schwarz , krishna g. kulkarni , vanja josifovski , jim melton",2002,sigmod record,sql/med - a status report
1688,h. v. jagadish,2000,sigmod record,acm-sigmod digital review
1689,michael j. carey,1994,sigmod conference,parallel database systems in the 1990 's
1690,"joseph m. hellerstein , vijayshankar raman",2002,sigmod conference,partial results for online query processing
1691,"jan van den bussche , marc andries , jan paredaens , luca cabibbo",2001,acm trans . database syst .,applying an update method to a set of receivers
1692,"alexander brodsky , yoram kornatzky",1995,sigmod conference,the lyric language : querying constraint objects
1693,"elena ferrari , pierangela samarati , claudio bettini , elisa bertino",1998,acm trans . database syst .,an access control model supporting periodicity constraints and temporal reasoning
1694,"florian krebs , christian böhm , bernhard braunmüller , hans-peter kriegel",2001,sigmod conference,epsilon grid order : an algorithm for the similarity join on massive high-dimensional data
1695,"shankar pal , thomas bergstraesser , philip a. bernstein , david shutt",1999,sigmod conference,versions and workspaces in microsoft repository
1696,"brad adelberg , ben kao , hector garcia-molina",1996,sigmod record,overview of the stanford real-time information processor ( strip )
1697,"øystein torbjørnsen , svein erik bratsberg",2000,sigmod conference,tutorial : designing an ultra highly available dbms
1698,"yannis sismanis , yannis kotidis , nick roussopoulos",1999,sigmod conference,the active multisync controller of the cubetree storage organization
1699,"laura m. haas , ling-ling yan , ronald fagin , renée j. miller",2001,sigmod conference,data-driven understanding and refinement of schema mappings
1700,"miron livny , michael j. carey , hweehwa pang",1994,sigmod conference,managing memory for real-time queries
1701,"dimitrios georgakopoulos , ming-chien shan , fabio casati",2001,vldb j.,e-services - guest editorial
1702,"joel l. wolf , cecilia magdalena procopiuc , jong soo park , charu c. aggarwal , philip s. yu",1999,sigmod conference,fast algorithms for projected clustering
1703,"kothuri venkata ravi kanth , siva ravada , daniel abugov",2002,sigmod conference,quadtree and r-tree indexes in oracle spatial : a comparison using gis data
1704,"piero fraternali , stefano paraboschi , stefano ceri",1999,sigmod record,design principles for data-intensive web sites
1705,asuman dogac,1998,sigmod record,guest editor 's introduction
1706,"marianne winslett , kenneth smith , xiaolei qian",1994,acm trans . database syst .,formal query languages for secure relational databases
1707,"val tannen , arnaud sahuguet , alin deutsch , lucian popa",2000,sigmod conference,a chase too far ?
1708,rafael alonso,1994,sigmod record,trade press news
1709,"césar a. galindo-legaria , michael j. franklin , leonard j. seligman , guy m. lohman",2001,sigmod record,sigmod 2001 industry sessions
1710,?,2000,vldb,author index
1711,"krishnamurty muralidhar , rathindra sarathy",1999,acm trans . database syst .,security of random data perturbation methods
1712,"marek rusinkiewicz , tomasz ksiezyk , richard s. brice , ray shea , vipul kashyap , andrzej cichocki , mosfeq rashid , c. unnikrishnan , abdelsalam helal , amy unruh , marian h. nodine , jerry fowler , darrell woelk , gale martin , roberto j. bayardo jr. , william bohrer",1997,sigmod conference,the infosleuth project
1713,"p. p. s. narayan , s. sudarshan , s. gogate , j. miller , abraham silberschatz , c. gupta , jerry baulier , m. wilder , henry f. korth , peter mcilroy , s. haldar , s. seshadri , philip bohannon , c. wei , a. khivesera , s. joshi , rajeev rastogi , m. nemeth",1999,sigmod conference,datablitz storage manager : main memory database performance for critical applications
1714,"jens claußen , christian wiesner , donald kossmann , alfons kemper",2000,vldb j.,exploiting early sorting and early partitioning for decisionsupport query processing
1715,"suresh kumar , eng-kee kwang , divyakant agrawal",1997,vldb,caprera : an activity framework for transaction processing on wide-area networks
1716,"clement t. yu , hai he , zonghuan wu , weiyi meng",2003,vldb,wise-integrator : an automatic integrator of web search interfaces for e-commerce
1717,"hanan samet , gísli r. hjaltason",1999,acm trans . database syst .,distance browsing in spatial databases
1718,r. g. g. cattell,1994,sigmod conference,odmg-93 : a standard for object-oriented dbmss
1719,marianne winslett,2001,sigmod record,"gio wiederhold speaks out on moving into academia in mid-career , how to be an effective consultant , why you should be a program manager as a funding agency , the need for ontology algebra and simulations , and more"
1720,"guy m. lohman , daniel c. zilio , sam lightstone",2002,sigmod record,toward autonomic computing with db2 universal database
1721,"xueqing gong , kun yue , aoying zhou , zhimao guo , jianchang xiao , wenfei fan , hongwei wu , qing wang , shihui zheng",2003,sigmod conference,trex : dtd-conforming xml to xml transformations
1722,"stephen kelley , frédéic vincent , nick roussopoulos",1995,sigmod conference,nearest neighbor queries
1723,"volker markl , mokhtar kandil , guy m. lohman , michael stillger",2001,vldb,leo - db2 's learning optimizer
1724,"manfred a. jeusfeld , franz baader , werner nutt",1997,sigmod record,intelligent access to heterogeneous information sources : report on the 4th workshop on knowledge representation meets databases
1725,"antoni olivé , ernest teniente",1995,vldb j.,updating knowledge bases while maintaining their consistency
1726,"weimin du , ming-chien shan , umeshwar dayal",1995,sigmod conference,reducing multidatabase query response time by tree balancing
1727,"david hanley , robert l. grossman , xiao qin",1995,sigmod conference,ptool : a light weight persistent object manager
1728,"s. muthukrishnan , h. v. jagadish , kenneth c. sevcik , torsten suel , nick koudas , viswanath poosala",1998,vldb,optimal histograms with quality guarantees
1729,"michael d. soo , richard t. snodgrass , michael h. böhlen",1996,vldb,coalescing in temporal databases
1730,"abraham silberschatz , rajeev rastogi , banu özden , prashant j. shenoy",1996,sigmod conference,fault-tolerant architectures for continuous media servers
1731,"gísli r. hjaltason , hanan samet",2002,vldb j.,speeding up construction of pmr quadtree-based spatial indexes
1732,jennifer widom,1996,sigmod record,editor 's notes
1733,"jianwen su , guozhu dong",2000,sigmod record,incremental maintenance of recursive views using relational calculus/sql
1734,"sam lightstone , guy m. lohman",2002,vldb,smart : making db2 ( more ) autonomic
1735,"gerhard köstler , werner kießling",2002,vldb,"preference sql - design , implementation , experiences"
1736,"mark girolami , fabio crestani",2002,sigmod record,report on the 24th european colloquium on information retrieval research
